,nome,url,formato,descricao
0,Organograma UFF 2022  1º semestre,http://dados.uff.br/dataset/ac4c8f3e-a076-4a4f-9978-7598ff21fc8c/resource/47df16f3-2ee3-4ecc-bd75-a73af24112cc/download/organograma-2022-1.csv,CSV,Organograma institucional da Universidade Federal Fluminense
1,Organograma UFF 2021  2º semestre,http://dados.uff.br/dataset/ac4c8f3e-a076-4a4f-9978-7598ff21fc8c/resource/de3a3b0a-a8cd-4e22-85fe-380ae51793e3/download/inst-org-2021-2.csv,CSV,Organograma institucional da Universidade Federal Fluminense
2,Organograma UFF 2021 - 1º semestre,http://dados.uff.br/dataset/ac4c8f3e-a076-4a4f-9978-7598ff21fc8c/resource/5d8f7349-5cd4-4fb0-9c5b-ea9dbef516a6/download/org2021.csv,CSV,Organograma institucional da Universidade Federal Fluminense.
3,Organograma UFF 2020 - 2º semestre,http://dados.uff.br/dataset/ac4c8f3e-a076-4a4f-9978-7598ff21fc8c/resource/febd965d-70ed-4f62-91a9-8aa389ad6e96/download/orgaos.csv,CSV,Organograma institucional da Universidade Federal Fluminense. 
22,Disciplinas de Graduação 2022 - 1º semestre,http://dados.uff.br/dataset/5c219fb6-4449-48c5-a6e1-062e4c6dc096/resource/46bebf66-e5b2-42a9-b068-2b857ee90262/download/grad-disc-2022-1.csv,CSV,Disciplinas de graduação ativas da UFF
41,Cursos de Graduação 2022- 1º semestre,http://dados.uff.br/dataset/e4cab554-8023-4562-8a5f-623439076b45/resource/4d52d59c-4306-4578-bf4d-983c4bdd7cd0/download/grad-cursos-2022-1.csv,CSV,Cursos de Graduação UFF
44,Disciplinas de Graduação 2021 - 2º semestre,http://dados.uff.br/dataset/5c219fb6-4449-48c5-a6e1-062e4c6dc096/resource/3febae79-569b-443e-b8dd-9fd070c1d7bc/download/grad-disciplina-2021-2.csv,CSV,Disciplinas de graduação ativas da UFF
49,Cursos de Graduação 2021 - 2º semestre,http://dados.uff.br/dataset/e4cab554-8023-4562-8a5f-623439076b45/resource/e7916365-0bf3-43a1-9a8f-1666c8102d11/download/cursos-grad-2021-2.csv,CSV,Cursos de Graduação UFF
51,Disciplinas de Graduação 2021 - 1º semestre,http://dados.uff.br/dataset/5c219fb6-4449-48c5-a6e1-062e4c6dc096/resource/a2c98653-5878-4821-aae8-773a7abb43e7/download/grad-disciplinas-2021-1.csv,CSV,Disciplinas de graduação ativas da UFF
55,Cursos de Graduação 2021 - 1º semestre,http://dados.uff.br/dataset/e4cab554-8023-4562-8a5f-623439076b45/resource/4091c7ba-4aa5-4743-b063-d1985bd4580d/download/cursos-grad-2021.csv,CSV,Cursos de Graduação UFF
57,Disciplinas de Graduação 2020 - 2º semestre,http://dados.uff.br/dataset/5c219fb6-4449-48c5-a6e1-062e4c6dc096/resource/0d20f89e-8153-4911-bfbd-60c82b79d857/download/grad-disciplinas-2020-2.csv,CSV,Disciplinas de graduação ativas da UFF
61,Cursos de Graduação 2020 - 2º semestre,http://dados.uff.br/dataset/e4cab554-8023-4562-8a5f-623439076b45/resource/3de8e601-318c-4cd0-90b3-1e3c9209c006/download/cursos-graduacao-2020-2.csv,CSV,Cursos de Graduação UFF
63,Disciplinas de Graduação 2020 - 1º semestre,http://dados.uff.br/dataset/5c219fb6-4449-48c5-a6e1-062e4c6dc096/resource/dfe8fb56-91d8-4f02-9c51-7b3c937f326f/download/grad-disciplinas-2020-1.csv,CSV,Disciplinas de graduação ativas da UFF
67,Cursos de Graduação 2020 - 1º semestre,http://dados.uff.br/dataset/e4cab554-8023-4562-8a5f-623439076b45/resource/42095529-4510-4d29-8a65-d442c1720169/download/cursos-graduacao.csv,CSV,Cursos de Graduação UFF
69,Disciplinas de Graduação 2019 - 2º semestre,http://dados.uff.br/dataset/5c219fb6-4449-48c5-a6e1-062e4c6dc096/resource/b971bebf-77ff-4ef0-ab30-8c3feb98b63b/download/grad-disciplinas-2019-2.csv,CSV,Disciplinas de graduação ativas da UFF
73,Cursos de Graduação 2019 - 2º semestre,http://dados.uff.br/dataset/e4cab554-8023-4562-8a5f-623439076b45/resource/6e71450b-93b0-4923-bb63-85189c016a06/download/cursos-graduacao-2019-2.csv,CSV,Cursos de Graduação UFF
75,Disciplinas de Graduação 2019 - 1º semestre,http://dados.uff.br/dataset/5c219fb6-4449-48c5-a6e1-062e4c6dc096/resource/19e7b23d-1d18-4447-aa2a-efba83bf8672/download/grad-disciplinas-2019-1.csv,CSV,Disciplinas de graduação ativas da UFF
79,Cursos de Graduação 2019 - 1º semestre,http://dados.uff.br/dataset/e4cab554-8023-4562-8a5f-623439076b45/resource/1e98b2c1-b096-418c-826a-de61aceb7de7/download/cursos-graduacao-2019-1.csv,CSV,Cursos de Graduação UFF
81,Disciplinas de Graduação 2018 - 2º semestre,http://dados.uff.br/dataset/5c219fb6-4449-48c5-a6e1-062e4c6dc096/resource/be054049-ddbd-4907-99d9-5d0411e9cf05/download/grad-disciplinas-2018-2.csv,CSV,Disciplinas de graduação ativas da UFF
85,Cursos de Graduação 2018 - 2º semestre,http://dados.uff.br/dataset/e4cab554-8023-4562-8a5f-623439076b45/resource/f069d1b4-aabf-4807-b60f-c7b3686e3801/download/cursos-grad-2018-2.csv,CSV,Cursos de Graduação UFF
86,Disciplinas de Graduação 2018 - 1º semestre,http://dados.uff.br/dataset/5c219fb6-4449-48c5-a6e1-062e4c6dc096/resource/edbe5b66-059a-4a34-8980-42001174c3f3/download/grad-disciplinas-2018-1.csv,CSV,Disciplinas de graduação ativas da UFF
